baseline,estimate,upper,lower,NL,Model,dropped
0,-0.010365539863430695,0.052246140911805725,-0.07297722063866711,8,TNL8,CHN
25,-0.29171360441883487,-0.16538138972344318,-0.41804581911422656,8,TNL8,CHN
30,-0.34798321732991566,-0.19161257426392034,-0.504353860395911,8,TNL8,CHN
0,0.07314263462693345,0.14792357752984892,-0.0016383082759820339,9,TNL9,CHN
25,-0.20383660893337766,-0.06174088948631268,-0.34593232838044263,9,TNL9,CHN
30,-0.25923245764543984,-0.08545843316332014,-0.43300648212755954,9,TNL9,CHN
0,-0.1018027120612159,-0.003509028757597066,-0.20009639536483473,10,TNL10,CHN
25,-0.338883834308253,-0.18051346208921776,-0.4972542065272882,10,TNL10,CHN
30,-0.3863000587576603,-0.1963488391360361,-0.5762512783792846,10,TNL10,CHN
0,-0.005970989159909474,0.05566931795509618,-0.06761129627491513,8,TNL8,COL
25,-0.32215504729792194,-0.19485570193438415,-0.4494543926614597,8,TNL8,COL
30,-0.3853918589255244,-0.22773184904001004,-0.5430518688110388,8,TNL8,COL
0,0.07187322391460128,0.14525697995927753,-0.0015105321300749597,9,TNL9,COL
25,-0.22732919763570847,-0.08378968509677037,-0.37086871017464657,9,TNL9,COL
30,-0.2871696819457704,-0.11135407474818912,-0.4629852891433517,9,TNL9,COL
0,-0.10574817820195351,-0.010147813713254586,-0.20134854269065244,10,TNL10,COL
25,-0.3466976755822901,-0.18668648577528735,-0.5067088653892928,10,TNL10,COL
30,-0.3948875750583573,-0.20251492898949675,-0.5872602211272179,10,TNL10,COL
0,-0.009456993307725786,0.05153283492269801,-0.07044682153814957,8,TNL8,CZE
25,-0.2938572974028588,-0.17172669944093763,-0.41598789536478,8,TNL8,CZE
30,-0.3507373582218855,-0.19952075935455457,-0.5019539570892164,8,TNL8,CZE
0,0.0712991035670559,0.14421451067959853,-0.0016163035454867247,9,TNL9,CZE
25,-0.20137426127866,-0.06391740709084176,-0.33883111546647826,9,TNL9,CZE
30,-0.2559089342478032,-0.08764290449297868,-0.4241749640026277,9,TNL9,CZE
0,-0.10418326691369914,-0.008392373849054502,-0.19997415997834378,10,TNL10,CZE
25,-0.32962421358242927,-0.17713476261452282,-0.4821136645503357,10,TNL10,CZE
30,-0.37471240291617525,-0.19157138502553428,-0.5578534208068162,10,TNL10,CZE
0,-0.015315740259484144,0.045424688480960186,-0.07605616899992848,8,TNL8,DEU
25,-0.3003281046509786,-0.1770423576691738,-0.42361385163278337,8,TNL8,DEU
30,-0.3573305775292775,-0.20494283631250904,-0.5097183187460459,8,TNL8,DEU
0,0.06460518066126039,0.1374772219837292,-0.008266860661208394,9,TNL9,DEU
25,-0.2059469263594799,-0.0672818903147003,-0.3446119624042595,9,TNL9,DEU
30,-0.2600573477636279,-0.09062305476675428,-0.4294916407605015,9,TNL9,DEU
0,-0.11102863637838858,-0.01529354360891079,-0.2067637291478664,10,TNL10,DEU
25,-0.33614968445299764,-0.18275224895646675,-0.48954711994952854,10,TNL10,DEU
30,-0.3811738940679194,-0.19717879872508823,-0.5651689894107506,10,TNL10,DEU
